//------------------------------------------------------------------------------
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02553005;1;01/11/2009;1;52,4;273,4;11;11;1;1;1;;;0;0;0;0;0;13,4;16,9;35,5;0;0;52,4;22,4;0;0;12,4;29,2;0;0;0;0;42,7;0;38,3;0;0,4;0;9,8;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02553005;1;01/12/2009;1;63,5;241,2;12;7;1;1;1;;;21,1;0;41,2;0;0;0;0;24;0;0;0;63,5;0;0;0;0;0;9,3;0;0;0;0;33;0;49,1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02553005;1;01/01/2010;1;45,4;174,5;13;9;1;1;1;;;0;0;10;0;0;0;6,7;0;0;0;7,8;0;45,4;0;0;0;18,2;13,8;0;38;10;0;0;0;0;0;0;24,6;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02553005;1;01/02/2010;1;45,6;122,5;16;6;1;1;1;;;0;0;0;0;0;0;0;0;24,2;0;0;0;0;0;11;45,6;23,4;0;0;0;0;0;0;0;16,9;0;0;1,4;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;;
02553005;1;01/03/2010;1;76,7;218,1;15;9;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;30,3;76,7;0;0;0;0;11,6;10,3;1;55,2;26,6;0;0;3,2;3,2;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02553005;1;01/04/2010;1;60,9;243,6;22;8;1;1;1;;;0;0;0;11,3;0;0;4,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,9;40,5;0;29;60,1;31,6;0;5,4;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02553005;1;01/05/2010;1;58,8;181,1;8;9;1;1;1;;;0;0;0;3,4;0;0;0;58,8;0;0;0;7,8;0;0;0;0;23,2;46,5;10;10,4;0;0;0;0;6,4;0;0;0;0;0;14,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02553005;1;01/06/2010;1;16,2;43,9;4;5;1;1;1;;;0;0;0;16,2;8,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,2;0;7,4;6,9;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02553005;1;01/07/2010;1;44,3;124,1;22;8;1;1;1;;;0;0;0;0;0;0;0;0;0;13;0;0;22,2;0;0;0;16;7;7,9;6,3;0;44,3;7,4;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02553005;1;01/08/2010;1;15,3;39,4;1;4;1;1;1;;;15,3;0;0;5,7;0;0;0;0;0;0;0;0;7,1;0;0;0;0;0;0;11,3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02553005;1;01/09/2010;1;28,6;71,4;24;5;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;16,2;0;0;0;0;0;0;0;0;11,4;28,6;3,4;0;11,8;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02553005;1;01/10/2010;1;68,7;259,9;30;10;1;1;1;;;0;16,6;0;14,4;16,5;0;67,9;0;0;0;0;0;0;0;12;41,2;0;0;0;0;0;4,7;0;13,6;0;0;0;0;0;68,7;4,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02553005;1;01/11/2010;1;44,8;76;10;4;1;1;1;;;0;0;0;0;0;13,4;0;0;0;44,8;0;0;0;0;0;0;0;0;0;0;0;13,4;0;0;0;0;0;0;0;4,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02553005;1;01/12/2010;1;74,9;443,1;3;15;1;1;1;;;0;0;74,9;38,8;48,5;66,3;0;29,7;0;0;18,4;36,6;27,4;0;0;0;0;0;3,4;0;18,5;23,5;13,7;0;12,8;0;0;0;7,4;0;23,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
